Timestamp,Name,Match 1,
2026-07-17 23:54:31,Julius,England,
2026-07-17 23:56:31,Lukas,France,
2026-07-18 00:27:48,Arie (wiener),France,
2026-07-18 01:57:22,Wealthy William,France,
2026-07-18 02:00:02,Jakob,England,
2026-07-18 15:52:23,Ventoux46,France,
